class,same_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,logged_in,dst_host_srv_serror_rate,dst_host_serror_rate,serror_rate,srv_serror_rate,count,dst_host_count,dst_host_srv_rerror_rate,rerror_rate,dst_host_rerror_rate,srv_rerror_rate,dst_host_diff_srv_rate,diff_srv_rate
normal,1.0,0.09803921568627451,0.17,0.0,0.0,0.0,0.0,0.0,0.00196078431372549,0.5882352941176471,0.0,0.0,0.05,0.0,0.03,0.0
normal,0.08,0.00392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.023529411764705882,1.0,0.0,0.0,0.0,0.0,0.6,0.15
anomaly,0.05,0.10196078431372549,0.1,0.0,1.0,1.0,1.0,1.0,0.23921568627450981,1.0,0.0,0.0,0.0,0.0,0.05,0.07
normal,1.0,1.0,1.0,1.0,0.01,0.03,0.2,0.2,0.00784313725490196,0.11764705882352941,0.01,0.0,0.0,0.0,0.0,0.0
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.056862745098039215,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,0.16,0.07450980392156863,0.07,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,1.0,1.0,1.0,1.0,1.0,0.07,0.06
anomaly,0.05,0.03529411764705882,0.04,0.0,1.0,1.0,1.0,1.0,0.3235294117647059,1.0,0.0,0.0,0.0,0.0,0.05,0.06
anomaly,0.14,0.058823529411764705,0.06,0.0,1.0,1.0,1.0,1.0,0.22745098039215686,1.0,0.0,0.0,0.0,0.0,0.07,0.06
anomaly,0.09,0.09019607843137255,0.09,0.0,1.0,1.0,1.0,1.0,0.5274509803921569,1.0,0.0,0.0,0.0,0.0,0.05,0.05
anomaly,0.06,0.050980392156862744,0.05,0.0,1.0,1.0,1.0,1.0,0.25882352941176473,1.0,0.0,0.0,0.0,0.0,0.06,0.06
anomaly,0.06,0.047058823529411764,0.05,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,0.07,0.06
anomaly,0.02,0.050980392156862744,0.05,0.0,1.0,1.0,1.0,1.0,0.38823529411764707,1.0,0.0,0.0,0.0,0.0,0.07,0.06
normal,1.0,0.8588235294117647,1.0,1.0,0.0,0.0,0.0,0.0,0.00392156862745098,0.03137254901960784,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,1.0,0.0784313725490196,1.0,1.0,0.0,0.0,0.0,0.0,0.00196078431372549,0.00784313725490196,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,0.0,0.00392156862745098,0.0,0.0,1.0,1.0,1.0,1.0,0.4549019607843137,1.0,0.0,0.0,0.0,0.0,0.07,0.06
anomaly,0.17,0.00784313725490196,0.01,0.0,1.0,1.0,1.0,1.0,0.18627450980392157,1.0,0.0,0.0,0.0,0.0,0.06,0.05
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.11,0.013725490196078431,0.3568627450980392,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,1.0,0.06274509803921569,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00392156862745098,0.0,0.0,0.0,0.0,0.0,0.0
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00392156862745098,0.2588235294117647,0.0,0.0,0.02,0.0,0.0,0.0
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01568627450980392,0.615686274509804,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,0.1,0.09019607843137255,0.09,0.0,1.0,1.0,1.0,1.0,0.43529411764705883,1.0,0.0,0.0,0.0,0.0,0.05,0.05
anomaly,0.06,0.06666666666666667,0.07,0.0,1.0,0.99,1.0,1.0,0.5470588235294118,0.9333333333333333,0.0,0.0,0.0,0.0,0.06,0.05
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013725490196078431,0.3411764705882353,0.0,0.0,0.0,0.0,0.0,0.0
normal,1.0,0.00392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.85,0.0
anomaly,0.01,0.00784313725490196,0.01,0.0,1.0,1.0,1.0,1.0,0.4843137254901961,1.0,0.0,0.0,0.0,0.0,0.06,0.06
normal,1.0,0.09803921568627451,0.1,1.0,0.0,0.53,0.0,0.0,0.0,1.0,0.16,0.0,0.02,0.0,0.05,0.0
anomaly,0.03,0.050980392156862744,0.05,0.0,1.0,1.0,1.0,1.0,0.5450980392156862,1.0,0.0,0.0,0.0,0.0,0.07,0.06
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00784313725490196,0.16862745098039217,0.57,0.0,0.56,0.0,0.0,0.0
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.025490196078431372,1.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06274509803921569,1.0,0.0,0.03,0.0,0.03,0.0,0.0
anomaly,1.0,0.20784313725490194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00392156862745098,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,0.28,0.23137254901960785,0.23,0.0,1.0,1.0,1.0,1.0,0.10980392156862745,1.0,0.0,0.0,0.0,0.0,0.04,0.07
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01568627450980392,0.03529411764705882,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,0.5,0.00392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.00196078431372549,1.0,1.0,1.0,0.29,1.0,0.31,1.0
normal,1.0,0.9803921568627451,0.98,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,1.0,0.0,0.0,0.0,0.0,0.01,0.0
normal,1.0,0.0196078431372549,0.12,0.0,0.0,0.0,0.0,0.0,0.00196078431372549,0.16078431372549018,0.0,0.0,0.0,0.0,0.05,0.0
normal,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2372549019607843,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,0.08,0.06666666666666667,0.07,0.0,1.0,1.0,1.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,0.07,0.06
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.041176470588235294,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,0.06,0.050980392156862744,0.05,0.0,1.0,1.0,1.0,1.0,0.44509803921568625,1.0,0.0,0.0,0.0,0.0,0.07,0.07
anomaly,0.22,0.24705882352941178,0.25,0.0,1.0,1.0,1.0,1.0,0.09607843137254901,1.0,0.0,0.0,0.0,0.0,0.02,0.08
anomaly,0.05,0.03529411764705882,0.04,0.0,1.0,1.0,1.0,1.0,0.5117647058823529,1.0,0.0,0.0,0.0,0.0,0.07,0.06
normal,1.0,0.5764705882352941,0.81,1.0,0.0,0.0,0.0,0.0,0.0,0.7098039215686275,0.0,0.0,0.0,0.0,0.02,0.0
normal,0.5,0.00784313725490196,0.01,0.0,0.0,0.0,0.0,0.0,0.0058823529411764705,1.0,0.0,0.0,0.0,0.0,0.66,0.5
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0196078431372549,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,0.1,0.043137254901960784,0.04,0.0,1.0,1.0,1.0,1.0,0.20980392156862746,1.0,0.0,0.0,0.0,0.0,0.07,0.08
anomaly,1.0,0.3137254901960784,0.31,0.0,0.0,0.0,0.0,0.0,0.15490196078431373,1.0,0.0,0.0,0.0,0.0,0.02,0.0
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.02,0.02,0.08431372549019608,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,1.0,0.14901960784313725,1.0,1.0,0.0,0.0,0.0,0.0,0.00196078431372549,0.01568627450980392,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,0.07,0.0196078431372549,0.02,0.0,1.0,1.0,1.0,1.0,0.503921568627451,1.0,0.0,0.0,0.0,0.0,0.07,0.05
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01764705882352941,0.5137254901960784,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,0.07,0.01568627450980392,0.02,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,1.0,1.0,1.0,1.0,1.0,0.08,0.1
anomaly,1.0,0.00784313725490196,0.01,0.0,0.0,0.0,0.0,0.0,0.00196078431372549,1.0,0.0,0.0,0.77,0.0,0.02,0.0
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.049019607843137254,0.10196078431372549,0.0,0.0,0.0,0.0,0.0,0.0
normal,1.0,0.9607843137254902,0.96,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,1.0,0.0,0.0,0.0,0.0,0.01,0.0
normal,1.0,0.8313725490196078,0.88,0.0,0.0,0.0,0.0,0.0,0.1411764705882353,0.4784313725490196,0.0,0.0,0.08,0.0,0.02,0.0
anomaly,1.0,0.1803921568627451,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00784313725490196,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,0.07,0.043137254901960784,0.04,0.0,1.0,1.0,1.0,1.0,0.2627450980392157,1.0,0.0,0.0,0.0,0.0,0.07,0.06
anomaly,0.5,0.23137254901960785,0.23,0.0,1.0,1.0,1.0,1.0,0.045098039215686274,1.0,0.0,0.0,0.0,0.0,0.04,0.08
normal,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.28823529411764703,1.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,1.0,0.18823529411764706,0.25,1.0,0.0,0.0,0.0,0.0,0.00196078431372549,0.6862745098039216,0.0,0.0,0.0,0.0,0.02,0.0
anomaly,0.02,0.01568627450980392,0.02,0.0,0.0,0.0,0.0,0.0,0.4019607843137255,1.0,1.0,1.0,1.0,1.0,0.08,0.06
anomaly,0.01,0.00392156862745098,0.0,0.0,0.0,0.07,0.1,0.0,0.3411764705882353,1.0,1.0,0.89,0.62,1.0,0.84,1.0
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0058823529411764705,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,0.16,0.0392156862745098,0.04,0.0,0.0,0.0,0.0,0.0,0.1215686274509804,1.0,1.0,1.0,1.0,1.0,0.07,0.08
normal,1.0,0.5215686274509804,0.39,1.0,0.0,0.0,0.0,0.0,0.0,0.42745098039215684,0.0,0.0,0.0,0.0,0.04,0.0
anomaly,1.0,0.00392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9254901960784314,1.0,1.0,0.58,1.0,0.58,0.0
anomaly,0.37,0.2627450980392157,0.26,0.0,1.0,1.0,1.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.02,0.08
anomaly,0.06,0.023529411764705882,0.02,0.0,0.0,0.0,0.0,0.0,0.24313725490196078,1.0,1.0,1.0,1.0,1.0,0.07,0.06
anomaly,0.12,0.08235294117647059,0.08,0.0,1.0,1.0,1.0,1.0,0.32745098039215687,1.0,0.0,0.0,0.0,0.0,0.06,0.06
normal,1.0,0.22745098039215686,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08235294117647059,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,0.11,0.12156862745098039,0.12,0.0,1.0,1.0,1.0,1.0,0.2823529411764706,1.0,0.0,0.0,0.0,0.0,0.05,0.06
normal,0.67,0.36470588235294116,0.36,0.0,0.0,0.0,0.0,0.0,0.00392156862745098,1.0,0.0,0.0,0.0,0.0,0.01,0.67
normal,1.0,0.3254901960784314,0.99,0.0,0.0,0.0,0.0,0.0,0.01568627450980392,0.32941176470588235,0.0,0.0,0.0,0.0,0.02,0.0
anomaly,0.04,0.023529411764705882,0.02,0.0,1.0,1.0,1.0,1.0,0.26862745098039215,1.0,0.0,0.0,0.0,0.0,0.07,0.06
normal,1.0,0.1843137254901961,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.17254901960784313,0.0,0.0,0.0,0.0,0.07,0.0
anomaly,0.03,0.03529411764705882,0.04,0.0,1.0,1.0,1.0,1.0,0.5392156862745098,1.0,0.0,0.0,0.0,0.0,0.06,0.06
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01764705882352941,0.18823529411764706,0.0,0.0,0.0,0.0,0.0,0.0
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01764705882352941,0.6588235294117647,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,0.03,0.03137254901960784,0.03,0.0,0.0,0.0,0.0,0.0,0.4843137254901961,1.0,1.0,1.0,1.0,1.0,0.07,0.06
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00196078431372549,0.09411764705882353,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,0.05,0.027450980392156862,0.03,0.0,0.0,0.0,0.0,0.0,0.2627450980392157,1.0,1.0,1.0,1.0,1.0,0.07,0.07
anomaly,0.09,0.00784313725490196,0.01,0.0,1.0,1.0,1.0,1.0,0.4294117647058824,1.0,0.0,0.0,0.0,0.0,0.07,0.05
anomaly,1.0,0.37254901960784315,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00392156862745098,0.0,0.0,0.0,0.0,0.0,0.0
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01568627450980392,0.4823529411764706,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,0.03,0.027450980392156862,0.1,0.0,1.0,0.97,1.0,1.0,0.4137254901960784,0.2823529411764706,0.0,0.0,0.0,0.0,0.11,0.05
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01764705882352941,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anomaly,0.05,0.00392156862745098,0.0,0.0,1.0,1.0,1.0,1.0,0.48823529411764705,1.0,0.0,0.0,0.0,0.0,0.07,0.06
anomaly,0.11,0.058823529411764705,0.06,0.0,0.0,0.0,0.0,0.0,0.2568627450980392,1.0,1.0,1.0,1.0,1.0,0.06,0.05
normal,0.67,0.00784313725490196,0.02,0.0,0.0,0.0,0.0,0.0,0.00392156862745098,0.4588235294117647,0.0,0.0,0.0,0.0,0.54,0.67
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.611764705882353,0.61,0.0,0.46,0.0,0.0,0.0
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00392156862745098,1.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,0.99,0.996078431372549,1.0,0.0,0.0,0.0,0.0,0.0,0.21176470588235294,1.0,0.0,0.0,0.0,0.0,0.01,0.02
anomaly,0.12,0.0392156862745098,0.04,0.0,0.0,0.0,0.0,0.0,0.28431372549019607,1.0,1.0,1.0,1.0,1.0,0.08,0.05
anomaly,0.02,0.011764705882352941,0.01,0.0,1.0,1.0,1.0,1.0,0.5862745098039216,1.0,0.0,0.0,0.0,0.0,0.07,0.06
normal,1.0,0.4666666666666667,0.48,1.0,0.02,0.01,0.0,0.0,0.0,0.9529411764705882,0.0,0.0,0.0,0.0,0.02,0.0
normal,1.0,0.00392156862745098,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.027450980392156862,0.0,0.0,0.0,0.0,0.29,0.0
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0058823529411764705,0.01568627450980392,0.0,0.0,0.0,0.0,0.0,0.0
normal,1.0,0.00784313725490196,0.01,0.0,0.0,0.0,0.0,0.0,0.00196078431372549,1.0,0.0,0.0,0.0,0.0,0.42,0.0
anomaly,0.12,0.047058823529411764,0.05,0.0,1.0,1.0,1.0,1.0,0.25098039215686274,1.0,0.0,0.0,0.0,0.0,0.05,0.05
normal,1.0,1.0,1.0,0.0,0.0,0.0,0.03,0.03,0.060784313725490195,1.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2588235294117647,0.0,0.0,0.0,0.0,0.0,0.0
normal,1.0,0.9686274509803922,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00392156862745098,0.68,1.0,1.0,1.0,0.0,0.0
normal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00392156862745098,0.6,0.0,0.0,0.0,0.0,0.0,0.0
