class,same_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,logged_in,dst_host_srv_serror_rate,dst_host_serror_rate,serror_rate,srv_serror_rate,count,dst_host_count,dst_host_srv_rerror_rate,rerror_rate,dst_host_rerror_rate,srv_rerror_rate,dst_host_diff_srv_rate,diff_srv_rate
0,1.0,25,0.17,0,0.0,0.0,0.0,0.0,2,150,0.0,0.0,0.05,0.0,0.03,0.0
0,0.08,1,0.0,0,0.0,0.0,0.0,0.0,13,255,0.0,0.0,0.0,0.0,0.6,0.15
1,0.05,26,0.1,0,1.0,1.0,1.0,1.0,123,255,0.0,0.0,0.0,0.0,0.05,0.07
0,1.0,255,1.0,1,0.01,0.03,0.2,0.2,5,30,0.01,0.0,0.0,0.0,0.0,0.0
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,30,255,0.0,0.0,0.0,0.0,0.0,0.0
1,0.16,19,0.07,0,0.0,0.0,0.0,0.0,121,255,1.0,1.0,1.0,1.0,0.07,0.06
1,0.05,9,0.04,0,1.0,1.0,1.0,1.0,166,255,0.0,0.0,0.0,0.0,0.05,0.06
1,0.14,15,0.06,0,1.0,1.0,1.0,1.0,117,255,0.0,0.0,0.0,0.0,0.07,0.06
1,0.09,23,0.09,0,1.0,1.0,1.0,1.0,270,255,0.0,0.0,0.0,0.0,0.05,0.05
1,0.06,13,0.05,0,1.0,1.0,1.0,1.0,133,255,0.0,0.0,0.0,0.0,0.06,0.06
1,0.06,12,0.05,0,0.0,0.0,0.0,0.0,205,255,1.0,1.0,1.0,1.0,0.07,0.06
1,0.02,13,0.05,0,1.0,1.0,1.0,1.0,199,255,0.0,0.0,0.0,0.0,0.07,0.06
0,1.0,219,1.0,1,0.0,0.0,0.0,0.0,3,8,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,20,1.0,1,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1,0.0,0,1.0,1.0,1.0,1.0,233,255,0.0,0.0,0.0,0.0,0.07,0.06
1,0.17,2,0.01,0,1.0,1.0,1.0,1.0,96,255,0.0,0.0,0.0,0.0,0.06,0.05
0,1.0,255,1.0,1,0.0,0.0,0.0,0.11,8,91,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,16,1.0,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,3,66,0.0,0.0,0.02,0.0,0.0,0.0
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,9,157,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,23,0.09,0,1.0,1.0,1.0,1.0,223,255,0.0,0.0,0.0,0.0,0.05,0.05
1,0.06,17,0.07,0,1.0,0.99,1.0,1.0,280,238,0.0,0.0,0.0,0.0,0.06,0.05
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,8,87,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,1,0.0,0,0.0,0.0,0.0,0.0,1,255,0.0,0.0,0.0,0.0,0.85,0.0
1,0.01,2,0.01,0,1.0,1.0,1.0,1.0,248,255,0.0,0.0,0.0,0.0,0.06,0.06
0,1.0,25,0.1,1,0.0,0.53,0.0,0.0,1,255,0.16,0.0,0.02,0.0,0.05,0.0
1,0.03,13,0.05,0,1.0,1.0,1.0,1.0,279,255,0.0,0.0,0.0,0.0,0.07,0.06
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,5,43,0.57,0.0,0.56,0.0,0.0,0.0
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,14,255,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,33,255,0.0,0.03,0.0,0.03,0.0,0.0
1,1.0,53,1.0,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,0.28,59,0.23,0,1.0,1.0,1.0,1.0,57,255,0.0,0.0,0.0,0.0,0.04,0.07
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,9,9,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,1,0.0,0,0.0,0.0,0.0,0.0,2,255,1.0,1.0,0.29,1.0,0.31,1.0
0,1.0,250,0.98,0,0.0,0.0,0.0,0.0,181,255,0.0,0.0,0.0,0.0,0.01,0.0
0,1.0,5,0.12,0,0.0,0.0,0.0,0.0,2,41,0.0,0.0,0.0,0.0,0.05,0.0
0,1.0,255,1.0,0,0.0,0.0,0.0,0.0,122,255,0.0,0.0,0.0,0.0,0.0,0.0
1,0.08,17,0.07,0,1.0,1.0,1.0,1.0,205,255,0.0,0.0,0.0,0.0,0.07,0.06
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,22,255,0.0,0.0,0.0,0.0,0.0,0.0
1,0.06,13,0.05,0,1.0,1.0,1.0,1.0,228,255,0.0,0.0,0.0,0.0,0.07,0.07
1,0.22,63,0.25,0,1.0,1.0,1.0,1.0,50,255,0.0,0.0,0.0,0.0,0.02,0.08
1,0.05,9,0.04,0,1.0,1.0,1.0,1.0,262,255,0.0,0.0,0.0,0.0,0.07,0.06
0,1.0,147,0.81,1,0.0,0.0,0.0,0.0,1,181,0.0,0.0,0.0,0.0,0.02,0.0
0,0.5,2,0.01,0,0.0,0.0,0.0,0.0,4,255,0.0,0.0,0.0,0.0,0.66,0.5
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,11,255,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,11,0.04,0,1.0,1.0,1.0,1.0,108,255,0.0,0.0,0.0,0.0,0.07,0.08
1,1.0,80,0.31,0,0.0,0.0,0.0,0.0,80,255,0.0,0.0,0.0,0.0,0.02,0.0
0,1.0,255,1.0,1,0.0,0.0,0.02,0.02,44,255,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,38,1.0,1,0.0,0.0,0.0,0.0,2,4,0.0,0.0,0.0,0.0,0.0,0.0
1,0.07,5,0.02,0,1.0,1.0,1.0,1.0,258,255,0.0,0.0,0.0,0.0,0.07,0.05
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,10,131,0.0,0.0,0.0,0.0,0.0,0.0
1,0.07,4,0.02,0,0.0,0.0,0.0,0.0,61,255,1.0,1.0,1.0,1.0,0.08,0.1
1,1.0,2,0.01,0,0.0,0.0,0.0,0.0,2,255,0.0,0.0,0.77,0.0,0.02,0.0
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,26,26,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,245,0.96,0,0.0,0.0,0.0,0.0,120,255,0.0,0.0,0.0,0.0,0.01,0.0
0,1.0,212,0.88,0,0.0,0.0,0.0,0.0,73,122,0.0,0.0,0.08,0.0,0.02,0.0
1,1.0,46,1.0,0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
1,0.07,11,0.04,0,1.0,1.0,1.0,1.0,135,255,0.0,0.0,0.0,0.0,0.07,0.06
1,0.5,59,0.23,0,1.0,1.0,1.0,1.0,24,255,0.0,0.0,0.0,0.0,0.04,0.08
0,1.0,255,1.0,0,0.0,0.0,0.0,0.0,148,255,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,48,0.25,1,0.0,0.0,0.0,0.0,2,175,0.0,0.0,0.0,0.0,0.02,0.0
1,0.02,4,0.02,0,0.0,0.0,0.0,0.0,206,255,1.0,1.0,1.0,1.0,0.08,0.06
1,0.01,1,0.0,0,0.0,0.07,0.1,0.0,175,255,1.0,0.89,0.62,1.0,0.84,1.0
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,4,255,0.0,0.0,0.0,0.0,0.0,0.0
1,0.16,10,0.04,0,0.0,0.0,0.0,0.0,63,255,1.0,1.0,1.0,1.0,0.07,0.08
0,1.0,133,0.39,1,0.0,0.0,0.0,0.0,1,109,0.0,0.0,0.0,0.0,0.04,0.0
1,1.0,1,0.0,0,0.0,0.0,0.0,0.0,1,236,1.0,1.0,0.58,1.0,0.58,0.0
1,0.37,67,0.26,0,1.0,1.0,1.0,1.0,52,255,0.0,0.0,0.0,0.0,0.02,0.08
1,0.06,6,0.02,0,0.0,0.0,0.0,0.0,125,255,1.0,1.0,1.0,1.0,0.07,0.06
1,0.12,21,0.08,0,1.0,1.0,1.0,1.0,168,255,0.0,0.0,0.0,0.0,0.06,0.06
0,1.0,58,1.0,1,0.0,0.0,0.0,0.0,1,21,0.0,0.0,0.0,0.0,0.0,0.0
1,0.11,31,0.12,0,1.0,1.0,1.0,1.0,145,255,0.0,0.0,0.0,0.0,0.05,0.06
0,0.67,93,0.36,0,0.0,0.0,0.0,0.0,3,255,0.0,0.0,0.0,0.0,0.01,0.67
0,1.0,83,0.99,0,0.0,0.0,0.0,0.0,9,84,0.0,0.0,0.0,0.0,0.02,0.0
1,0.04,6,0.02,0,1.0,1.0,1.0,1.0,138,255,0.0,0.0,0.0,0.0,0.07,0.06
0,1.0,47,0.55,1,0.0,0.0,0.0,0.0,1,44,0.0,0.0,0.0,0.0,0.07,0.0
1,0.03,9,0.04,0,1.0,1.0,1.0,1.0,276,255,0.0,0.0,0.0,0.0,0.06,0.06
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,10,48,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,10,168,0.0,0.0,0.0,0.0,0.0,0.0
1,0.03,8,0.03,0,0.0,0.0,0.0,0.0,248,255,1.0,1.0,1.0,1.0,0.07,0.06
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,2,24,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05,7,0.03,0,0.0,0.0,0.0,0.0,135,255,1.0,1.0,1.0,1.0,0.07,0.07
1,0.09,2,0.01,0,1.0,1.0,1.0,1.0,220,255,0.0,0.0,0.0,0.0,0.07,0.05
1,1.0,95,1.0,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,9,123,0.0,0.0,0.0,0.0,0.0,0.0
1,0.03,7,0.1,0,1.0,0.97,1.0,1.0,212,72,0.0,0.0,0.0,0.0,0.11,0.05
0,1.0,255,1.0,1,0.0,0.0,0.0,0.0,10,255,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05,1,0.0,0,1.0,1.0,1.0,1.0,250,255,0.0,0.0,0.0,0.0,0.07,0.06
1,0.11,15,0.06,0,0.0,0.0,0.0,0.0,132,255,1.0,1.0,1.0,1.0,0.06,0.05
0,0.67,2,0.02,0,0.0,0.0,0.0,0.0,3,117,0.0,0.0,0.0,0.0,0.54,0.67
